endpoint,ep_short,fraction,n_train,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,1,BayesianRidge,baseline,0.18851741546084233,0.5584111670659065,0.3118230315039078,0.4587684089927151,0.4390807788559246,0.3472394967809456
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,1,RandomForest,baseline,0.10664758296062926,0.5859032421211123,0.3432826091280308,0.48303093485027515,0.3712538568646225,0.2328413533372048
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,1,LightGBM,baseline,0.13303829663938727,0.5771842206694424,0.33314162458979163,0.4684062207995889,0.39342449316423733,0.3497550192126593
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,1,LightGBM,tuned,0.1242961664530915,0.5800869805331013,0.33650090498401064,0.46978267262107665,0.39344614105921566,0.33130568078606576
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,1,RandomForest,tuned,0.12361571554507333,0.5803123101762532,0.3367623773420999,0.4824832761986033,0.38667125085410203,0.22620734796201597
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,2,MeanPredictor,baseline,-0.009629765562640724,0.6228673492523903,0.3879637347646992,0.5348150024804881,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,2,BayesianRidge,baseline,0.15057206875141071,0.5713178084512802,0.32640403825357367,0.478555291129018,0.40271797823754657,0.23009321942948982
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,2,RandomForest,baseline,0.12524848881092054,0.5797714742782607,0.33613496238678797,0.48384337389647253,0.3837154766181162,0.23102619492842988
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,2,LightGBM,baseline,0.12842938537607207,0.5787163902616382,0.33491266035746076,0.47080872043421457,0.3714806320783667,0.3005256494070233
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,2,LightGBM,tuned,0.13010303453907102,0.5781604779749429,0.33426953829221434,0.4698256051899295,0.3632771095079843,0.3006547956319858
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,2,RandomForest,tuned,0.10623780095411628,0.5860376040342885,0.34344007334224946,0.4912504942519598,0.3542568100582241,0.19345124340324946
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,3,MeanPredictor,baseline,-0.005298125747828175,0.6215297613613134,0.38629924425785117,0.5355349624706902,,3.9652387903185313e-32
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,3,BayesianRidge,baseline,0.2064232358857846,0.5522159728128857,0.30494248062968177,0.45707551473871233,0.45446849386453614,0.35472908389362334
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,3,RandomForest,baseline,0.14992899388297753,0.5715340308055039,0.32665114836878667,0.4747607177556797,0.4167515286099883,0.2674209202010886
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,3,LightGBM,baseline,0.19919839413090934,0.554724005844428,0.3077187226600891,0.4518488124105649,0.4532575502600658,0.39587483989963457
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,3,LightGBM,tuned,0.20279291437351554,0.5534776239407752,0.30633748020312607,0.45381517488748196,0.45388938049804156,0.40051024216787223
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,3,RandomForest,tuned,0.1480625194782227,0.5721611364912714,0.32736836611098336,0.4768940752734431,0.4104523000592197,0.24889590230698028
LOG HLM_CLint (mL/min/kg),HLM,0.25,617,4,MeanPredictor,baseline,-0.004493960225434801,0.6212811222830578,0.3859902329052958,0.5357277105918422,,3.968413232823406e-32
