endpoint,featureset,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,fcfp4,RF,0.3,740,11,none,0.0,base,0.1944698175687776,0.5489885073217767,0.3013883811713925,0.4507565694322156,0.4458457360621723,0.4411609289124069,0.3170235162846146
HLM,fcfp4,RF,0.3,740,12,none,0.0,base,0.1474794863167463,0.5647740881457719,0.3189697706408881,0.4561309006440127,0.4043321886751188,0.4240633942046878,0.2714822237476266
HLM,fcfp4,RF,0.3,740,13,none,0.0,base,0.1698331169922574,0.5573205362841388,0.31060618016404,0.4641560172038833,0.41425982889929,0.4088162782120281,0.285325889286042
HLM,fcfp4,RF,0.3,740,14,none,0.0,base,0.1513449067474445,0.5634922600367492,0.3175235271213235,0.4587470855889966,0.4002365414184751,0.4110470129264186,0.2745117074363232
HLM,fcfp4,RF,0.3,740,15,none,0.0,base,0.1547270070925583,0.5623683111358846,0.3162581173698271,0.4629712667152102,0.3970530717446431,0.4023894700034946,0.2730662289461803
HLM,fcfp4,RF,0.3,740,16,none,0.0,base,0.1969593825671062,0.5481395011342935,0.3004569127037522,0.4505755459158572,0.4507287600299057,0.4492654672287185,0.3343554687113546
HLM,fcfp4,RF,0.3,740,17,none,0.0,base,0.2127288819100206,0.5427308439221015,0.2945567689443965,0.4448307648966015,0.4769771500025926,0.480722199746923,0.3215873011579142
HLM,fcfp4,RF,0.3,740,18,none,0.0,base,0.126580279717923,0.5716547819089631,0.3267891896793841,0.4705749984517799,0.3614964898155818,0.369660801180895,0.2604373027113972
HLM,fcfp4,RF,0.3,740,19,none,0.0,base,0.1921317473776053,0.5497846560203947,0.3022631679954637,0.4533850369592231,0.452943952209889,0.4445534617752311,0.2985823267326902
HLM,fcfp4,RF,0.4,987,5,none,0.0,base,0.2251029591443939,0.5384487155357897,0.2899270192621417,0.4417258077265137,0.4883971321770932,0.5045318375083441,0.3270224945659012
HLM,fcfp4,RF,0.4,987,6,none,0.0,base,0.1646000994634369,0.5590743321664143,0.3125641088873221,0.4518449083394817,0.4138099054206786,0.4545592458687717,0.2954545049034802
HLM,fcfp4,RF,0.4,987,7,none,0.0,base,0.20851340750844,0.5441819409325099,0.2961339848370737,0.4481791295404528,0.464024431682641,0.4874192629263866,0.3184525180340238
HLM,fcfp4,RF,0.4,987,8,none,0.0,base,0.2011782769263757,0.5466977384597752,0.2988784172370328,0.4496764899166124,0.4568624200513653,0.467703376095914,0.3066239960537145
HLM,fcfp4,RF,0.4,987,9,none,0.0,base,0.1798260150177034,0.5539560871634414,0.3068673465054302,0.4576562422642393,0.4272024590889673,0.4372738798427863,0.2987945037419673
HLM,fcfp4,RF,0.4,987,10,none,0.0,base,0.2239951675571982,0.5388334607942556,0.2903414984715147,0.4407426141488668,0.4996460043155965,0.506065416206114,0.3250103710493929
HLM,fcfp4,RF,0.4,987,11,none,0.0,base,0.2004094779785089,0.5469607505666009,0.2991660626603794,0.4483460103044071,0.4502888296047331,0.4610581683460893,0.3326613970565925
HLM,fcfp4,RF,0.4,987,12,none,0.0,base,0.1658089986460699,0.5586696701661636,0.3121118003635701,0.4503623782879332,0.4197261514028594,0.4323694154174207,0.2909132687933449
HLM,fcfp4,RF,0.4,987,13,none,0.0,base,0.2201655319577933,0.5401614139580623,0.2917743531291731,0.4491161897150752,0.4742532948455512,0.4632530130358015,0.3379976337502323
HLM,fcfp4,RF,0.4,987,14,none,0.0,base,0.1917052003735827,0.5499297774870713,0.3024227601669797,0.4500859100744334,0.4478563968742628,0.4394220109402058,0.3035213387313121
HLM,fcfp4,RF,0.4,987,15,none,0.0,base,0.1418692895028624,0.5666293503241603,0.32106882064878,0.4635695396893201,0.3830490155806722,0.3788633788625443,0.2783245981755621
